2026-08-01 22:19:26 | INFO     | MantraAI.main | MantraAI shutdown complete.
2026-08-01 22:25:14 | INFO     | MantraAI | TTS voice set to: Microsoft Hazel Desktop - English (Great Britain)
2026-08-01 22:25:14 | INFO     | MantraAI | TextToSpeech initialised.
2026-08-01 22:25:14 | INFO     | MantraAI | SpeechToText initialised.
2026-08-01 22:25:14 | INFO     | MantraAI | Speaking: 'Hello! I'm Mantra, version 1.0. Please wait while I calibrate my microphone.'
2026-08-01 22:25:22 | INFO     | MantraAI | Calibrating microphone for ambient noise…
2026-08-01 22:25:24 | INFO     | MantraAI | Calibration complete.
2026-08-01 22:25:24 | INFO     | MantraAI | WakeWordDetector ready. Wake word: 'hello mantra'
2026-08-01 22:25:24 | INFO     | MantraAI | Wake word listener active – waiting for wake word…
2026-08-01 22:25:24 | INFO     | MantraAI | Wake word detector started.
2026-08-01 22:25:24 | INFO     | MantraAI | Assistant initialised. All modules loaded.
2026-08-01 22:25:24 | INFO     | MantraAI | Speaking: 'I'm ready. Say 'Hello Mantra' to wake me up.'
2026-08-01 22:25:24 | DEBUG    | MantraAI | Wake listener heard: 'pata chale ki meri duniya'
2026-08-01 22:25:39 | DEBUG    | MantraAI | Wake listener heard: 'hello mantra good evening'
2026-08-01 22:25:39 | INFO     | MantraAI | Wake word detected!
2026-08-01 22:25:39 | INFO     | MantraAI.main | Wake word event received. Starting session.
2026-08-01 22:25:39 | INFO     | MantraAI.main | Wake word event received. Starting session.
2026-08-01 22:25:39 | INFO     | MantraAI | Speaking: 'Hello! I'm Mantra. How can I help you?'
2026-08-01 22:25:39 | DEBUG    | MantraAI | Wake listener heard: 'hello mantra good evening'
2026-08-01 22:25:39 | INFO     | MantraAI | Wake word detected!
2026-08-01 22:25:39 | INFO     | MantraAI.main | Wake word event received. Starting session.
2026-08-01 22:25:39 | INFO     | MantraAI.main | Wake word event received. Starting session.
2026-08-01 22:25:39 | INFO     | MantraAI | Speaking: 'Hello! I'm Mantra. How can I help you?'
2026-08-01 22:25:44 | INFO     | MantraAI | Awaiting command…
2026-08-01 22:25:44 | DEBUG    | MantraAI | Listening…
2026-08-01 22:25:49 | INFO     | MantraAI | Awaiting command…
2026-08-01 22:25:49 | DEBUG    | MantraAI | Listening…
2026-08-01 22:25:53 | DEBUG    | MantraAI | STT could not understand audio.
2026-08-01 22:25:53 | INFO     | MantraAI | Speaking: 'I didn't catch that. Could you repeat?'
2026-08-01 22:25:53 | DEBUG    | MantraAI | STT could not understand audio.
2026-08-01 22:25:53 | INFO     | MantraAI | Speaking: 'I didn't catch that. Could you repeat?'
2026-08-01 22:25:56 | DEBUG    | MantraAI | Listening…
2026-08-01 22:26:00 | DEBUG    | MantraAI | Listening…
2026-08-01 22:26:01 | DEBUG    | MantraAI | STT could not understand audio.
2026-08-01 22:26:01 | INFO     | MantraAI | Speaking: 'Going back to sleep. Say Hello Mantra when you need me!'
2026-08-01 22:26:05 | INFO     | MantraAI | Session ended.
2026-08-01 22:26:17 | DEBUG    | MantraAI | STT could not understand audio.
2026-08-01 22:26:17 | INFO     | MantraAI | Speaking: 'Going back to sleep. Say Hello Mantra when you need me!'
2026-08-01 22:26:21 | INFO     | MantraAI | Session ended.
2026-08-01 22:26:46 | DEBUG    | MantraAI | Wake listener heard: 'mobile data connect'
2026-08-01 22:26:46 | DEBUG    | MantraAI | Wake listener heard: 'mobile data connect'
2026-08-01 22:28:14 | ERROR    | MantraAI | Wake word STT request error: recognition connection failed: [WinError 10065] A socket operation was attempted to an unreachable host
2026-08-01 22:28:14 | ERROR    | MantraAI | Wake word STT request error: recognition connection failed: [WinError 10065] A socket operation was attempted to an unreachable host
2026-08-01 22:28:18 | ERROR    | MantraAI | Wake word STT request error: recognition connection failed: [Errno 11001] getaddrinfo failed
2026-08-01 22:28:18 | ERROR    | MantraAI | Wake word STT request error: recognition connection failed: [Errno 11001] getaddrinfo failed
2026-08-01 22:28:24 | ERROR    | MantraAI | Wake word STT request error: recognition connection failed: [Errno 11001] getaddrinfo failed
2026-08-01 22:28:24 | ERROR    | MantraAI | Wake word STT request error: recognition connection failed: [Errno 11001] getaddrinfo failed
2026-08-01 22:28:43 | INFO     | MantraAI | Interrupt signal received. Exiting.
2026-08-01 22:28:43 | INFO     | MantraAI | Wake word detector stopped.
2026-08-01 22:28:43 | INFO     | MantraAI | Speaking: 'Goodbye! Mantra is shutting down.'
2026-08-01 22:28:47 | INFO     | MantraAI.main | MantraAI shutdown complete.
2026-08-01 22:28:47 | INFO     | MantraAI.main | MantraAI shutdown complete.
2026-08-01 22:29:31 | INFO     | MantraAI | TTS voice set to: Microsoft Hazel Desktop - English (Great Britain)
2026-08-01 22:29:31 | INFO     | MantraAI | TextToSpeech initialised.
2026-08-01 22:29:31 | INFO     | MantraAI | SpeechToText initialised.
